Employee_ID,Attrition,Exit_Interview_Score
474,True,2
97,True,4
729,False,1
278,False,2
470,False,4
723,True,1
897,False,4
790,True,1
99,True,1
93,True,1
800,True,3
288,False,5
716,True,1
253,True,5
742,False,3
684,True,3
28,False,2
235,False,3
580,False,5
249,False,5
372,True,2
242,False,3
779,True,5
91,False,4
988,True,5
670,False,5
324,False,2
116,True,2
897,True,2
383,True,3
929,False,4
602,False,2
511,True,2
623,False,2
845,False,3
439,True,5
556,False,5
817,True,1
929,True,2
210,False,5
947,True,5
640,False,2
540,False,1
515,True,5
316,False,1
253,False,4
323,False,5
56,False,5
467,False,3
743,False,1
348,False,3
295,False,4
451,False,2
977,False,5
11,False,2
505,True,3
503,False,1
684,True,2
561,False,2
432,True,3
628,True,5
74,False,4
262,False,4
674,False,3
497,True,2
770,True,5
357,True,5
357,False,2
556,True,4
816,False,5
557,True,4
972,True,3
891,False,3
280,True,5
650,False,5
959,True,3
216,True,2
312,True,4
406,False,5
747,False,3
182,False,4
608,False,1
889,True,3
581,True,4
759,False,4
272,True,4
427,False,2
546,True,4
959,True,5
13,False,3
237,False,1
308,True,2
216,True,1
640,False,3
916,True,1
960,False,5
774,False,4
778,False,2
961,False,4
97,True,2
790,True,2
424,False,1
364,False,4
42,True,1
262,False,3
481,True,5
129,False,4
917,True,3
81,True,3
413,False,4
2,False,3
241,False,1
965,False,2
727,True,3
938,True,1
313,True,2
687,True,3
753,True,4
807,True,5
213,True,4
243,False,2
833,True,2
962,True,3
392,False,3
284,True,1
129,False,5
224,True,2
425,True,4
400,True,5
325,True,4
786,False,2
769,True,4
874,True,2
134,False,5
409,False,3
688,True,5
829,True,5
213,False,2
603,False,4
79,False,4
272,True,1
987,True,2
